threshold,equal_opportunity_difference,average_abs_odds_difference,disparate_impact
0.861,0.973,0.953,0.9671120246659815
0.86,0.973,0.953,0.9671120246659815
0.859,0.973,0.953,0.9671120246659815
0.858,0.974,0.9534999999999999,0.9681397738951696
0.857,0.974,0.9534999999999999,0.9681397738951696
0.856,0.975,0.954,0.9681397738951696
0.855,0.975,0.9554999999999999,0.9691675231243576
0.854,0.976,0.956,0.9701952723535457
0.853,0.976,0.956,0.9701952723535457
0.852,0.976,0.956,0.9701952723535457
0.851,0.974,0.93,0.9652351738241308
0.85,0.974,0.93,0.9662576687116564
0.849,0.974,0.93,0.9662576687116564
0.848,0.974,0.93,0.9662576687116564
0.847,0.974,0.93,0.9662576687116564
0.846,0.975,0.932,0.967280163599182
0.845,0.975,0.9335,0.967280163599182
0.844,0.975,0.9335,0.967280163599182
0.843,0.976,0.934,0.9683026584867075
0.842,0.976,0.934,0.9683026584867075
0.841,0.977,0.9345,0.9683026584867075
0.84,0.977,0.9355,0.9693251533742331
0.839,0.977,0.9355,0.9693251533742331
0.838,0.978,0.936,0.9703476482617587
0.837,0.978,0.9375,0.9703476482617587
0.836,0.979,0.9380000000000001,0.9713701431492843
0.835,0.979,0.9395,0.9713701431492843
0.834,0.979,0.9405,0.9723926380368098
0.833,0.98,0.941,0.9723926380368098
0.832,0.98,0.9159999999999999,0.9694189602446482
0.831,0.98,0.9159999999999999,0.9704383282364933
0.83,0.981,0.9165,0.9704383282364933
0.829,0.981,0.9165,0.9704383282364933
0.828,0.981,0.9165,0.9704383282364933
0.827,0.981,0.9165,0.9704383282364933
0.826,0.978,0.9164999999999999,0.9684959349593496
0.825,0.979,0.9169999999999999,0.9695121951219512
0.824,0.98,0.9175,0.9695121951219512
0.823,0.98,0.9175,0.9695121951219512
0.822,0.98,0.9175,0.9695121951219512
0.821,0.98,0.9175,0.9695121951219512
0.82,0.98,0.9175,0.9705284552845528
0.819,0.98,0.9189999999999999,0.9705284552845528
0.818,0.981,0.9195,0.9715447154471545
0.817,0.981,0.9195,0.9715447154471545
0.816,0.982,0.9199999999999999,0.9715447154471545
0.815,0.982,0.9199999999999999,0.9715447154471545
0.814,0.982,0.9199999999999999,0.9725609756097561
0.813,0.983,0.9204999999999999,0.9725609756097561
0.812,0.983,0.9219999999999999,0.9735772357723577
0.811,0.983,0.9219999999999999,0.9735772357723577
0.81,0.983,0.9219999999999999,0.9735772357723577
0.809,0.983,0.9219999999999999,0.9735772357723577
0.808,0.983,0.9219999999999999,0.9735772357723577
0.807,0.984,0.9224999999999999,0.9735772357723577
0.806,0.984,0.9224999999999999,0.9735772357723577
0.805,0.984,0.9224999999999999,0.9735772357723577
0.804,0.984,0.9235,0.9745934959349594
0.803,0.984,0.9249999999999999,0.9745934959349594
0.802,0.984,0.9264999999999999,0.9745934959349594
0.801,0.985,0.9269999999999999,0.975609756097561
0.8,0.985,0.9269999999999999,0.975609756097561
